#datum;m_txx;m_txxd;m_txa;m_dtx0;m_dtx25;m_dtx30;m_dtx35
1916-05;26.8;1916-05-27;21.3;0;2;0;0
1916-06;29.5;1916-06-10;23.9;0;11;0;0
1916-07;33.2;1916-07-10;26.5;0;22;5;0
1916-08;31.4;1916-08-17;25.5;0;19;3;0
1916-09;25.4;1916-09-04;21.0;0;2;0;0
1916-10;26.9;1916-10-15;16.2;0;2;0;0
1916-11;18.8;1916-11-09;11.1;0;0;0;0
1916-12;13.7;1916-12-13;8.0;0;0;0;0
1917-01;14.2;1917-01-16;3.8;10;0;0;0
1917-02;7.3;1917-02-27;0.5;12;0;0;0
1917-03;17.6;1917-03-20;8.7;0;0;0;0
1917-04;24.0;1917-04-15;14.7;0;0;0;0
1917-05;29.2;1917-05-30;23.6;0;14;0;0
1917-06;34.2;1917-06-29;28.4;0;26;10;0
1917-07;34.9;1917-07-31;27.6;0;24;9;0
1917-08;36.2;1917-08-02;30.2;0;28;19;4
1917-09;33.2;1917-09-20;26.5;0;19;6;0
1917-10;26.2;1917-10-03;17.7;0;4;0;0
1917-11;14.9;1917-11-11;10.1;0;0;0;0
1917-12;15.1;1917-12-01;1.9;9;0;0;0
1918-01;14.8;1918-01-23;6.6;5;0;0;0
1918-02;13.2;1918-02-10;4.5;11;0;0;0
1918-03;20.8;1918-03-25;12.0;0;0;0;0
1918-04;24.1;1918-04-13;19.9;0;0;0;0
1918-05;29.4;1918-05-22;21.8;0;7;0;0
1918-06;35.1;1918-06-18;23.7;0;10;2;1
1918-07;36.1;1918-07-18;26.9;0;19;10;1
1918-08;34.4;1918-08-23;26.0;0;20;7;0
1918-09;35.2;1918-09-25;25.7;0;16;3;2
1918-10;21.9;1918-10-14;15.4;0;0;0;0
1918-11;20.0;1918-11-04;6.5;2;0;0;0
1918-12;11.0;1918-12-31;4.6;0;0;0;0
1919-01;11.5;1919-01-05;5.1;2;0;0;0
1919-02;17.0;1919-02-22;5.5;9;0;0;0
1919-03;19.7;1919-03-27;11.4;0;0;0;0
1919-04;20.3;1919-04-13;15.1;0;0;0;0
1919-05;23.0;1919-05-11;16.2;0;0;0;0
1919-06;29.0;1919-06-21;22.6;0;11;0;0
1919-07;31.0;1919-07-08;22.7;0;7;1;0
1919-08;29.0;1919-08-22;23.8;0;11;0;0
1919-09;26.5;1919-09-15;22.9;0;5;0;0
1919-10;23.5;1919-10-01;13.5;0;0;0;0
1919-11;16.0;1919-11-07;8.0;1;0;0;0
1919-12;10.5;1919-12-01;3.3;6;0;0;0
1920-01;16.0;1920-01-13;6.3;3;0;0;0
1920-02;14.0;1920-02-27;7.7;1;0;0;0
1920-03;23.5;1920-03-07;13.4;0;0;0;0
1920-04;27.5;1920-04-19;19.2;0;3;0;0
1920-05;27.5;1920-05-20;22.4;0;13;0;0
1920-06;28.0;1920-06-30;21.6;0;6;0;0
1920-07;31.0;1920-07-09;25.9;0;22;4;0
1920-08;29.0;1920-08-05;23.2;0;16;0;0
1920-09;29.0;1920-09-21;21.8;0;9;0;0
1920-10;24.0;1920-10-03;13.4;0;0;0;0
1920-11;9.5;1920-11-17;4.2;4;0;0;0
1920-12;12.5;1920-12-29;4.6;2;0;0;0
1921-01;16.0;1921-01-30;8.3;0;0;0;0
1921-02;11.5;1921-02-02;5.7;3;0;0;0
1921-03;22.5;1921-03-25;14.2;0;0;0;0
1921-04;22.0;1921-04-13;16.1;0;0;0;0
1921-05;29.5;1921-05-20;23.0;0;15;0;0
1921-06;30.0;1921-06-04;21.5;0;9;1;0
1921-07;37.5;1921-07-30;28.5;0;23;11;4
1921-08;37.0;1921-08-12;27.5;0;22;10;2
1921-09;31.0;1921-09-16;22.5;0;10;1;0
1921-10;23.5;1921-10-12;18.6;0;0;0;0
1921-11;13.5;1921-11-06;4.6;7;0;0;0
1921-12;10.0;1921-12-20;2.3;14;0;0;0
1922-01;8.3;1922-01-02;0.9;14;0;0;0
1922-02;11.8;1922-02-28;1.7;11;0;0;0
1922-03;18.9;1922-03-10;13.4;0;0;0;0
1922-04;27.0;1922-04-30;15.2;0;2;0;0
1922-05;28.5;1922-05-27;21.7;0;8;0;0
1922-06;31.2;1922-06-11;25.5;0;21;2;0
1922-07;35.9;1922-07-12;28.0;0;22;13;1
1922-08;37.4;1922-08-15;28.7;0;24;16;3
1922-09;29.0;1922-09-01;20.6;0;5;0;0
1922-10;22.5;1922-10-06;11.9;0;0;0;0
1922-11;16.6;1922-11-04;7.3;1;0;0;0
1922-12;15.5;1922-12-21;6.1;4;0;0;0
1923-01;9.2;1923-01-01;4.2;3;0;0;0
1923-02;14.1;1923-02-03;4.1;7;0;0;0
1923-03;20.9;1923-03-28;11.1;0;0;0;0
1923-04;24.0;1923-04-13;14.9;0;0;0;0
